ID	COMPOUND_ID	CREATED_ON	DATATYPE_ID	DATATYPE	TEXT
61	18371	2004-05-10	0	General	The non-stereospecific name '4-carboxymethylenebut-2-enolide' is used in the literature as a synonym for the naturally occurring E (termed 'cis') stereoisomer.
62	17029	2004-05-20	0	General	Cellulose-like biopolymer consisting predominantly of unbranched chains of beta-(1->4)-2-acetamido-2-deoxy-D-glucose
64	17407	2004-05-25	0	General	The prevalent isomer in Nature is the trans,trans isomer and the unqualified term 'farnesyl' is generally used to mean this isomer unless otherwise specified.
65	17618	2004-05-26	0	General	Ring size of fructose components seems unclear in the literature.
67	17630	2004-06-15	0	General	Kanamycin A is usually designated as kanamycin. It is the major component of the naturally occurring antibiotic complex known also as kanamycin.
68	28098	2004-06-15	0	General	Kanamycin B is a minor component of the naturally occurring antibiotic complex known as kanamycin. 
71	17646	2004-06-21	0	General	Exists in equilibrium with 4,6-dihydroxy-4-methyltetrahydro-2H-pyran-2-one (beta,delta-dihydroxy-beta-methyl-delta-valerolactone)
72	16365	2004-06-29	0	General	Quinolin-2-ol exists largely as the quinolin-2(1H)-one tautomer.
73	17015	2004-06-30	39813	CompoundName	Uses obsolete isoalloxazine skeletal numbering system.
75	16119	2004-07-01	40024	CompoundName	The naturally occurring (-)-form. The (+-)-racemate has also been synthesized.
76	28185	2004-07-06	0	General	Kanamycin C is a minor component of the naturally occurring antibiotic complex known as kanamycin. 
79	32374	2004-07-26	22100	CompoundName	The naturally occurring compound has (E) stereochemistry.  Both (E) and (Z) isomers are available synthetically.
81	17059	2004-07-30	40787	CompoundName	Beta notation taken from E. A. Khairallah and G. Wolf, J. Biol. Chem., 1967, 242, 32-39
83	29110	2004-07-30	40785	CompoundName	The compound was named bunolol by F.-J. Leinweber et al., Xenobiotica, 1972, 2(2), 191-202.
84	29109	2004-07-30	40784	CompoundName	The compound was named dihydrobunolol by F.-J. Leinweber et al., Xenobiotica, 1972, 2(2), 191-202.
92	16087	2004-09-01	0	General	The isomer generally involved in enzymic reactions has stereochemistry (1R,2S). See CHEBI:15562.
93	15562	2004-09-01	0	General	The isomer of isocitric acid generally involved in enzymic reactions.
94	15562	2004-09-01	41635	CompoundName	Obsolete
96	46570	2004-09-02	0	General	When used on its own, the term 'zeatin' generally refers to the trans (E) stereomer (CHEBI:16522)
101	15750	2004-12-09	4448	ChemicalData	n is generally in the range 9-18 (Source: IUBMB Enzyme Nomenclature Glossary)
105	23316	2004-12-10	0	General	Citral obtained from natural sources is a 2:1 mixture of geranial [CHEBI:16980] and neral [CHEBI:29020].
106	28804	2004-12-13	6525	CompoundName	IUPAC recommends progressive abandonment of 'nor' in the naming of amino acids (see 3AA-15.2.3).
107	18314	2004-12-13	9676	CompoundName	IUPAC recommends progressive abandonment of 'nor' in the naming of amino acids (see 3AA-15.2.3).
108	18347	2004-12-13	9670	CompoundName	IUPAC recommends progressive abandonment of 'nor' in the naming of amino acids (see 3AA-15.2.3).
110	24017	2005-01-10	0	General	The trans,trans stereoisomers [i.e. (2E,6E)-3,7,11-trimethyldodeca-2,6,10-trien-1-yl] prevail in nature.
112	27727	2005-01-26	0	General	The form of the steroid with unspecified stereochemistry at C-3, C-5 and C-17.
113	15443	2005-02-04	0	General	The chain terminates with an alpha-D-glucopyranosyl group.
114	32364	2005-03-09	32364	General	The numbering system used for 3-dehydroquinate is that of the IUPAC/CBN recommendations on cyclitols, sections I-8 and I-9. The use of the term '5-dehydroquinate' for this compound is based on an earlier system of numbering (for example of use, see S. Mitsuhashi and B. D. Davis, Biochim. Biophys. Acta, 1954, 15, 268-280). 
115	17947	2005-03-09	17947	General	The numbering system used for 3-dehydroquinic acid is that of the IUPAC/CBN recommendations on cyclitols, sections I-8 and I-9. The use of the term '5-dehydroquinic acid' for this compound is based on an earlier system of numbering (for example of use, see S. Mitsuhashi and B. D. Davis, Biochim. Biophys. Acta, 1954, 15, 268-280). 
117	15565	2005-03-10	49032	CompoundName	Erroneous name. Alternative might be Toluene-cis-2,3-dihydrodiol.
118	17681	2005-03-15	17681	General	Tautomeric with 6-hydroxypyridin-2(1H)-one.
119	18265	2005-03-15	18265	General	Tautomeric with 2-aminopteridin-4(1H)-one.
120	29044	2005-03-18	29044	General	The substituent name '3-oxoprop-2-enyl' is incorrect but is used in various databases.
121	29044	2005-03-18	29044	General	The naturally occurring compound is the cis,cis isomer: (2Z)-2-amino-3-[(1Z)-3-oxoprop-1-en-1-yl]but-2-enedioate. 
122	17740	2005-03-18	17740	General	The naturally occurring compound is the S stereoisomer [i.e. (2S)-2-amino-3-oxopropanoate]. 
123	16630	2005-03-22	16630	General	The numbering system used for the 3-dehydroshikimate is that of the IUPAC/CBN recommendations on cyclitols, sections I-8 and I-9. The use of the term '5-dehydroshikimate' for this compound is based on an earlier, now obsolete, system of numbering (for example of use, see S. Mitsuhashi and B. D. Davis, Biochim. Biophys. Acta, 1954, 15, 268-280). 
124	30918	2005-03-22	30918	General	The numbering system used for the 3-dehydroshikimic acid is that of the IUPAC/CBN recommendations on cyclitols, sections I-8 and I-9. The use of the term '5-dehydroshikimic acid' for this compound is based on an earlier, now obsolete, system of numbering (for example of use, see S. Mitsuhashi and B. D. Davis, Biochim. Biophys. Acta, 1954, 15, 268-280). 
125	17521	2005-03-30	36193	CompoundName	IUBMB Enzyme Nomenclature Glossary assigns the stereochemistry as (1R,3R,4R,5R).
126	29751	2005-03-30	38610	CompoundName	IUBMB Enzyme Nomenclature Glossary assigns the stereochemistry of the free acid as (1R,3R,4R,5R). 
127	9859	2005-04-06	9859	General	Named by IUPAC/IUBMB JCBN as a galactopyranoside whereas structure drawings in Beilstein and KEGG COMPOUND show a glucopyranoside structure. 
128	32537	2005-04-06	49895	CompoundName	The different configurational prefix to that in the IUPAC name (source: 'Nomenclature of Carbohydrates', IUPAC/IUBMB JCBN, 1996) indicates different configurations at C-3 and C-4.
129	32543	2005-04-19	49928	CompoundName	Incorrect name ("4-amino-" prefix omitted) as given in the Appendix (c) to the IUPAC/IUBMB JCBN Recommendations (1996) "Nomenclature of Carbohydrates".
132	17728	2005-05-13	17728	General	The chloride salt is known as Vitamin U [Methylmethionine sulfonium chloride, CAS RN 1115-84-0 (Source: ChemIDplus)].
133	32957	2005-06-20	32957	General	A locant may be added to the name to designate the site of (hydro)lysis, 2-lyso designating hydrolysis at position 2, leaving a free hydroxy group at this carbon atom.
135	32958	2005-06-20	32958	General	The name 'phosphate' is used for the -O-P(O)(OH)2 group irrespective of its state of ionization.
136	32959	2005-06-20	32959	General	The name 'triphosphate' is used for the -O-PO(OH)-O-PO(OH)-O-PO(OH)2 group irrespective of its state of ionization.
138	31967	2005-06-27	31967	General	The major anthocyanin present in ripe strawberries.
139	1391	2005-08-19	1391	General	The active ingredient in the recreational drug ecstasy.
141	29119	2005-10-13	29119	General	Compound cited in Reactome
142	29143	2005-10-13	29143	General	Cited in Reactome
143	48522	2005-10-13	29142	General	Cited in Reactome
144	29141	2005-10-13	29141	General	Cited in Reactome
145	29140	2005-10-13	29140	General	Compound cited in Reactome
146	29147	2006-06-06	29147	General	Named 'ethenocytosine' in Reactome
148	29144	2005-10-13	29144	General	Cited in Reactome
151	18040	2005-10-13	18040	General	The only naturally occurring isomer of the four possible ones, and exclusive to collagen protein; forms by post-translational hydroxylation of lysine (Allevi and Anastasia, Tetrahedron Asymmetry, 11 (2000) 3151-3160).
153	27017	2005-11-22	27017	General	See: Qureshi, A.A., Mo, H., Packer, L. and Peterson, D.M. (2000) Isolation and identification of novel tocotrienols from rice bran with hypocholesterolemic, antioxidant, and antitumor properties. J. Agric. Food Chem. 48, 3130-3140. [PMID:10956081]
154	33278	2005-11-22	33278	General	See: Qureshi, A.A., Mo, H., Packer, L. and Peterson, D.M. (2000) Isolation and identification of novel tocotrienols from rice bran with hypocholesterolemic, antioxidant, and antitumor properties. J. Agric. Food Chem. 48, 3130-3140. [PMID:10956081]
158	29228	2005-12-04	29228	General	The term "hydrofluoric acid" refers to the aqueous solution of hydrogen fluoride.
159	47266	2005-12-04	29134	General	The term "hydrobromic acid" refers to the aqueous solution of hydrogen bromide.
160	17883	2005-12-04	17883	General	The term "hydrochloric acid" refers to the aqueous solution of hydrogen chloride.
161	43451	2005-12-04	5591	General	The term "hydroiodic acid" refers to the aqueous solution of hydrogen iodide.
162	33349	2006-04-27	33349	General	Nielsbohrium (Ns) was a former suggested name for both element 105, now called dubnium (Db), and element 107, now called bohrium (Bh).
163	33355	2006-04-27	33355	General	Nielsbohrium (Ns) was a former suggested name for both element 105, now called dubnium (Db), and element 107, now called bohrium (Bh).
164	33349	2005-12-09	33349	General	Hahnium (Ha) was a former suggested name for both element 105, now called dubnium (Db), and element 108, now called hassium (Hs).
165	33357	2005-12-09	33357	General	Hahnium (Ha) was a former suggested name for both element 105, now called dubnium (Db), and element 108, now called hassium (Hs).
166	16136	2005-12-13	16136	General	The term "hydrosulfuric acid" refers to the aqueous solution of hydrogen sulfide.
168	26660	2006-01-09	56221	CompoundName	Erroneous term
169	18306	2006-01-31	56737	CompoundName	Name used in J. Biol. Chem. 245 (1970) 2599-2604 [Medline UI: 70230292].
170	18155	2006-02-07	59580	CompoundName	See EC 4.6.1.14: specific example of a 1,2-diacyl-sn-glycerol product.
171	35370	2006-03-20	35370	General	As reported in New J. Chem., 2006, <bold>30</bold>, 197-207. The possibility of the reported compound being the enantiomer, (25S)-5alpha-spirostan-1alpha,3beta-diol, cannot be discounted.
172	5186	2006-04-04	5186	General	The name 'fucoxanthin' is also applied in the 1974 CBN carotenoid recommendations to the all-trans but otherwise non-stereochemically defined compound.
173	5186	2006-04-04	5186	General	The existence of the 6'S stereoisomer has also been reported [Liaaen-Jensen,S. (1997), Pure Appl. Chem., <bold>69</bold>, 2027-2038].
176	29146	2006-06-06	62546	General	Name 'ethenoadenine' used in Reactome
177	35877	2006-06-06	35877	General	Named 'formamidopyrimidine' in Reactome.
178	34642	2006-06-29	63180	General	The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.
179	34643	2006-07-10	63181	General	The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.
180	34644	2006-07-23	34644	General	The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.
181	34645	2006-07-23	34645	General	The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.
182	36220	2007-06-05	63471	General	Oerning, L. and Hammarstroem, S. (1983) Isolation and characterization of 15-hydroxylated metabolites of leukotriene C4. FEBS Lett. 153, 253-256. [PMID:6413247]
183	43620	2006-07-10	63505	CompoundName	The name in chemPDB appears to be a misnomer.
184	34643	2006-07-10	63181	General	The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.
185	34643	2006-07-10	63181	General	The 12alpha configuration in the IUPAC Name refers to the octenyl side-chain of the parent prostane structure and not to the acetyloxy substituent.
186	28834	2006-07-10	63539	CompoundName	This is a misnomer.
187	44951	2006-08-02	63953	CompoundName	A misnomer.
188	5407	2006-09-01	99024	DatabaseAccession	E stereomer
189	5407	2006-09-01	99025	DatabaseAccession	Z stereomer
190	5404	2006-09-01	99027	DatabaseAccession	Z stereomer
191	5406	2006-09-01	99028	DatabaseAccession	E stereoisomer
192	5415	2006-09-01	99029	DatabaseAccession	E stereomer
197	6320	2006-09-11	64441	CompoundName	An equivalent name based on the skeletal numbering used for the stercobilin parent structure would be (2R,3R,4S,16S,17R,18R)-3,18-diethyl-2,7,13,17-tetramethyl-1,19-dioxo-1,2,3,4,5,10,15,16,17,18,19,22,23,24-tetradecahydro-21H-biline-8,12-dipropanoic acid. However, because of the symmetrical nature of the stercobilinogen molecule the direction of the skeletal numbering is reversed so that the earlier-cited substituents (the ethyl groups) may take the preferred lower locants 2,17.
198	36479	2006-09-11	64452	CompoundName	An equivalent name based on the skeletal numbering used for the stercobilin parent structure would be 3,18-diethyl-2,7,13,17-tetramethyl-1,19-dioxo-1,2,3,4,5,10,15,16,17,18,19,22,23,24-tetradecahydro-21H-biline-8,12-dipropanoic acid. However, because of the symmetrical nature of the stercobilinogen molecule the direction of the skeletal numbering is reversed so that the earlier-cited substituents (the ethyl groups) may take the preferred lower locants 2,17.
200	36549	2006-09-20	36549	General	A hypothetical polyhedrane.
201	19543	2006-09-27	65337	CompoundName	Misnomer
203	36973	2006-11-08	36973	General	Previously, descriptions such as graphite layers, carbon layers or carbon sheets have been used for the term graphene. Because graphite designates that modification of the chemical element carbon, in which planar sheets of carbon atoms, each atom bound to three neighbours in a honeycomb-like structure, are stacked in a three-dimensional regular order, it is not correct to use for a single layer a term which includes the term graphite, which would imply a three-dimensional structure. The term graphene should be used only when the reactions, structural relations or other properties of individual layers are discussed.
204	33418	2006-11-08	33418	General	The term graphite is also used often but incorrectly to describe graphite materials, i.e. materials consisting of graphitic carbon made from carbon materials by processing to temperatures greater than 2500 K, even though no perfect graphite structure is present.
205	36977	2006-11-09	36977	General	The use of the term graphite instead of the more exact term hexagonal graphite may be tolerated in view of the minor importance of rhombohedral graphite, the other allotropic form.
206	36978	2006-11-09	36978	General	The structure of rhombohedral graphite can be best considered as an extended stacking fault in hexagonal graphite. Rhombohedral graphite can not be isolated in pure form (natural graphite and laboratory preparations contain less than 40% of rhombohedral graphite in combination with hexagonal graphite). It is produced by shear deformation of hexagonal graphite and transforms progressively to the hexagonal (ABAB) modification on heating above 1600 K.
208	30429	2006-11-21	42444	CompoundName	The parent hydride name derives from the etymological source 'indigo' (from the flame colour of indium).
209	37180	2006-11-27	66914	CompoundName	This name is explicitly not recommended by IUPAC.
210	37181	2006-11-27	66917	CompoundName	This name is explicitly not recommended by IUPAC.
211	9754	2006-11-28	67032	CompoundName	Acronym for Tris(Hydroxymethyl)AminoMethane.
212	49858	2006-11-29	67106	CompoundName	This name is explicitly not recommended by IUPAC.
213	37243	2006-11-29	67107	CompoundName	This name is explicitly not recommended by IUPAC.
214	33697	2006-11-29	67110	CompoundName	Acronym for Ribonukleinsaeure.
215	16991	2006-11-29	67112	CompoundName	Acronym for Desoxyribonukleinsaeure.
216	37526	2007-01-18	68070	CompoundName	At present, not listed as a fundamental parent structure by IUPAC.
217	37586	2007-01-29	68315	CompoundName	Not recommended since this is a common name of trisodium phosphate  Na3PO4 (CHEBI:37583).
218	37586	2007-01-29	68316	CompoundName	Not recommended since this is a common name of trisodium phosphate  Na3PO4 (CHEBI:37583).
220	43515	2007-01-29	68323	CompoundName	Not recommended by IUPAC.
221	29124	2007-01-29	68325	CompoundName	Not recommended by IUPAC.
223	33026	2007-01-30	33026	General	The name as used in: Song, B., Wang, G. and Yuan, J. (2005) Chem. Commun. 3553-3555. [PMID:16010321]
224	33024	2007-01-30	68336	CompoundName	The name as used in: Song, B., Wang, G. and Yuan, J. (2005) Chem. Commun. 3553-3555. [PMID:16010321]
225	33024	2007-01-30	68331	CompoundName	Adapted from: Song, B., Wang, G. and Yuan, J. (2005) Chem. Commun. 3553-3555. [PMID:16010321]
226	33025	2007-01-30	68337	CompoundName	The name as used in: Song, B., Wang, G. and Yuan, J. (2005) Chem. Commun. 3553-3555. [PMID:16010321]
227	20857	2007-02-13	20857	General	C-Glycosyl compounds are also known by the misnomer 'C-glycosides'.
228	6553	2007-02-13	10092	CompoundName	Misnomer: IUPAC strongly discourages the use of names based on 'C-glycoside' terminology.
229	7781	2007-02-13	11844	CompoundName	Misnomer: IUPAC strongly discourages the use of names based on 'C-glycoside' terminology.
231	37660	2007-02-16	37660	General	The name 'methanopterin' is derived from the compound's role as a coenzyme in methanogenesis and the structure is not to be confused with that of a simple methano derivative of pterin.
232	37669	2007-02-21	37669	General	The name 'methanopterin' is derived from the compound's role as a coenzyme in methanogenesis and the structure is not to be confused with that of a simple methano derivative of pterin.
233	33709	2007-03-08	33709	General	Oxoacids other than carboxylic acids are excluded form this class. Other amino oxoacids can be found within the classes CHEBI:37793 (aminosulfonic acids) and CHEBI:37794 (aminosulfinic abids).
234	22221	2007-03-17	22221	General	In organic chemistry an unspecified acyl group is commonly a carboxylic acyl group.
235	16531	2007-03-19	16531	General	CHEBI:16531 is similar to, and as active as, luciferin from the coelenterate Renilla. The native luciferin has the benzyl group at C-8 replaced by an unidentified group of approximately 200 Da.
236	37858	2007-03-22	69177	CompoundName	This name is no longer recommended by IUPAC.
237	33536	2007-03-21	69182	CompoundName	This name is explicitly not recommended by IUPAC.
238	37859	2007-03-22	69185	CompoundName	This name is no longer recommended by IUPAC.
239	51334	2007-03-22	69187	CompoundName	This name is no longer recommended by IUPAC.
240	37866	2007-03-22	69200	CompoundName	This name is no longer recommended by IUPAC.
241	3079	2007-03-29	3079	General	The name betanidine is also used as a synonym. However this should be reserved as a common name for 1-benzyl-2,3-dimethylguanidine (see CHEBI:37937).
242	37937	2007-03-29	37937	General	The name 'betanidin' is also used as a synonym, but should be reserved as a common name for the indole derivative CHEBI:3079.
243	6104	2013-03-19	6104	General	Kanamycin is a mixture of kanamycins A, B, C, D and X in unspecified proportions.
245	17721	2007-04-23	17721	General	The non-stereospecific name 'nicotianamine' is used in the literature as a synonym for the naturally occurring stereoisomer.
246	25520	2007-05-01	25520	General	The non-stereospecific name 'nicotianamine' is used in the literature as a synonym for the naturally occurring (S,S,S) stereoisomer.
247	16802	2007-04-25	16802	General	The name 'sedoheptulose' is the accepted trivial name for D-altro-hept-2-ulose (see IUPAC rule 2-Carb-10.2). The D configuration is implicit within the name.
249	38223	2007-05-03	70339	CompoundName	The structure was chosen as the Congress Emblem of the XIX International Congress of Pure and Applied Chemistry, held in London on 10-17 July 1963. The synthesis of the congressane was suggested as a challenge for the participants of the Congress.
251	15333	2007-05-14	20912	CompoundName	The term 'zeatin' usually refers to the trans (E) stereomer (CHEBI:16522).
252	47147	2007-05-17	38301	General	Experimental herbicide from the Dow AgroSciences collection [see Yeng C. et al. (2004) Biochemistry, 43, 10414-10423].
253	40290	2007-05-17	38302	General	Experimental herbicide from the Dow AgroSciences collection [see Yeng C. et al. (2004) Biochemistry, 43, 10414-10423].
254	38346	2007-06-05	38346	General	An example of delta-aromatic molecular entity. See: Zhai, H.-J., Averkiev, B.B., Zubarev, D.Y., Wang, L.-S. and Boldyrev, A.I. (2007) delta Aromaticity in [Ta3O3](-). Angew. Chem. Int. Ed. 46, 4277-4280. [PMID:17465436]
255	38401	2007-06-04	38401	General	The naturally occurring enantiomer.
256	28417	2007-06-04	28417	General	Gentamycin C is a generic name for the C series gentamycins and also for a mixture of gentamycin C1a, C1 and C2.
257	38403	2007-06-05	38403	General	The naturally occurring enantiomer isolated from Lamium purpureum seed oil. See: Mikolajczak, K.L., Rogers, M.F., Smith, C.R. and Wolff, I.A. (1967) An octadecatrienoic acid from Lamium purpureum L. seed oil containing 5,6-allenic and trans-16-olefinic unsaturation. Biochem. J. 105, 1245-1249. [PMID:16742552]
258	38396	2007-06-05	38396	General	The trivial name "lamenallenic acid" was originally proposed for the naturally occurring (5R) enantiomer (CHEBI:38403). See: Mikolajczak, K.L., Rogers, M.F., Smith, C.R. and Wolff, I.A. (1967) An octadecatrienoic acid from Lamium purpureum L. seed oil containing 5,6-allenic and trans-16-olefinic unsaturation. Biochem. J. 105, 1245-1249. [PMID:16742552]
259	38403	2007-06-05	38403	General	See: Cowie, J.S., Landor, P.D., Landor, S.R. and Punja, N. (1972) Allenes. Part XXII. The synthesis and absolute configuration of laballenic and lamenallenic acids. J. Chem. Soc., Perkin Trans. 1, 2197-2201. [DOI:10.1039/P19720002197]
260	38401	2007-06-05	38401	General	See: Cowie, J.S., Landor, P.D., Landor, S.R. and Punja, N. (1972) Allenes. Part XXII. The synthesis and absolute configuration of laballenic and lamenallenic acids. J. Chem. Soc., Perkin Trans. 1, 2197-2201. [DOI:10.1039/P19720002197]
261	28193	2007-06-14	28193	General	Confusion exists in the literature between lupinine and lupanine. Thus lupinine is a bicyclic quinolizidine alkaloid whereas lupanine has a methylene-bridged dipyridodiazocine structure containing two quinolizidine systems. Unfortunately the two terms are sometimes used synonomously.
262	37776	2007-06-17	37776	General	An example of delta-aromatic molecular entity. See: Huang, X., Zhai, H.-J., Kiran, B. and Wang, L.-S. (2005) Observation of d-orbital aromaticity. Angew. Chem. Int. Ed. 44, 7251-7254. [PMID:16229039]
263	37774	2007-06-17	37774	General	An example of delta-aromatic molecular entity. See: Huang, X., Zhai, H.-J., Kiran, B. and Wang, L.-S. (2005) Observation of d-orbital aromaticity. Angew. Chem. Int. Ed. 44, 7251-7254. [PMID:16229039]
264	37795	2007-06-17	37795	General	An example of delta-aromatic molecular entity. See: Huang, X., Zhai, H.-J., Kiran, B. and Wang, L.-S. (2005) Observation of d-orbital aromaticity. Angew. Chem. Int. Ed. 44, 7251-7254. [PMID:16229039]
265	37792	2007-06-17	37792	General	An example of delta-aromatic molecular entity. See: Huang, X., Zhai, H.-J., Kiran, B. and Wang, L.-S. (2005) Observation of d-orbital aromaticity. Angew. Chem. Int. Ed. 44, 7251-7254. [PMID:16229039]
266	35905	2007-06-17	35905	General	See: Li, X.-L., Kuznetsov, A.E., Zhang, H.-F., Boldyrev, A.I. and Wang, L.S. (2001) Observation of all-metal aromatic molecules. Science 291, 859-861. [PMID:11157162]
267	38559	2007-06-24	38559	General	'P450' refers to a feature in the carbon monoxide absorption difference spectrum at 450 nm caused by the presence of a thiolate in the axial position of the heme opposite to the carbon monoxide ligand.
268	38704	2007-06-28	71949	CompoundName	Name taken from IRAC (Insecticide Resistance Action Committee) list.
270	39011	2007-07-26	39011	General	For the original list of buffer criteria, see: Good, N.E., Winget, G.D., Winter, W., Connolly, T.N., Izawa, S. and Singh, R.M.M. (1966) Hydrogen ion buffers for biological research. Biochemistry 5, 467-477. [PMID:5942950]
271	39079	2007-08-01	39079	General	Analogue of PD173955 used in protein-binding studies.
272	39080	2007-08-01	39080	General	Analogue of vandetanib used in protein-binding studies.
273	39081	2007-08-01	39081	General	Analogue of sunitinib used in protein-binding studies.
274	39082	2007-08-01	39082	General	Analogue of staurosporine used in protein-binding studies.
275	39083	2007-08-01	39083	General	Analogue of imatinib used in protein-binding studies.
276	39084	2007-08-01	39084	General	Analogue of gefitinib used in protein-binding studies.
277	39085	2007-08-01	39085	General	Analogue of pelitinib used in protein-binding studies.
278	39086	2007-08-01	39086	General	Racemate; analogue of Ro 320-1195 used in protein-binding studies.
279	45116	2007-08-02	73169	CompoundName	R configuration wrongly assigned; the associated diagram correctly shows the S configuration.
280	18723	2007-08-13	18723	General	The term 'nicotine' usually refers to the (S) stereomer (CHEBI:17688).
281	39212	2007-08-16	39212	General	See: Aplin, R.T., Hui, W.H., Ho, C.T. and Yee, C.W. (1971) An examination of the rubiaceae of Hong Kong. Part VIII. The structure of spinosic acid A, a new triterpenoid sapogenin from Randia spinosa (Thunb.) Poir. J. Chem. Soc. C, 1067-1069. [DOI:10.1039/J39710001067]
282	27082	2007-08-17	27082	General	The term 'trehalose' usually refers to the alpha,alpha form (CHEBI:16551).
283	45783	2007-08-17	38918	General	See: Zimmermann, J., Buchdunger, E., Mett, H., Meyer, T. and Lydon, N.B. (1997) Potent and selective inhibitors of the Abl-kinase: phenylamino-pyrimidine (PAP) derivatives. Bioorg. Med. Chem. Lett. 7, 187-192. [DOI:10.1016/S0960-894X(96)00601-4]
284	39344	2007-08-23	39344	General	Structure, InChI and SMILES shown are those of the isomer with 1R,3R absolute configuration.
285	33534	2007-09-07	74218	CompoundName	The name as used in: Gowan, S.M., Harrison, J.R., Patterson, L., Valenti, M., Read, M.A., Neidle, S. and Kelland, L.R. (2002) A G-quadruplex-interactive potent small-molecule inhibitor of telomerase exhibiting in vitro and in vivo antitumor activity. Mol. Pharmacol. 61, 1154-1162. [PMID:11961134]
286	39440	2007-09-07	74220	CompoundName	The name as used in: Gowan, S.M., Harrison, J.R., Patterson, L., Valenti, M., Read, M.A., Neidle, S. and Kelland, L.R. (2002) A G-quadruplex-interactive potent small-molecule inhibitor of telomerase exhibiting in vitro and in vivo antitumor activity. Mol. Pharmacol. 61, 1154-1162. [PMID:11961134]
287	39462	2007-09-11	39462	General	The term 'pilocarpine' usually refers to the (3S,4R) stereomer (CHEBI:8207).
288	46616	2007-09-14	46616	General	See: Cassidy, D.B. and Mills, A.P., Jr. (2007) The production of molecular positronium. Nature 449, 195-197. [PMID:17851519]
291	46676	2007-09-19	83581	CompoundName	After Tremola, a valley in Switzerland.
292	46678	2007-09-19	83583	CompoundName	The name derived from AMOSA (Asbestos Mines Of South Africa).
293	46679	2007-09-19	46679	General	Named after Emmanuel-Louis Gruener, a Swiss-French chemist who first described it.
294	9119	2007-09-20	9119	General	Should not be confused with serpentine minerals (CHEBI:46670).
295	46670	2007-09-20	46670	General	Should not be confused with alkaloid serpentine (CHEBI:9119).
296	28071	2007-09-20	28071	General	Reaction product from EC 2.4.2.34. The position of acylation is indeterminate because of the ease of acyl transfer between hydroxy groups. The structure shown and named is that of only one of the possible isomers.
297	46692	2007-09-21	46692	General	Structural analogue of the lipid A portion of lipopolysaccharide (LPS).
